emotion,best_edit,count
happy,original,15
happy,all_attributes,25
happy,brightness_only,18
happy,saturation_only,23
happy,temperature_only,13
happy,contrast_only,6
lonely,brightness_only,5
lonely,all_attributes,79
lonely,temperature_only,11
lonely,original,2
lonely,saturation_only,3
scary,brightness_only,20
scary,temperature_only,9
scary,all_attributes,64
scary,saturation_only,3
scary,contrast_only,3
scary,original,1
peaceful,contrast_only,19
peaceful,temperature_only,18
peaceful,all_attributes,43
peaceful,brightness_only,9
peaceful,original,7
peaceful,saturation_only,4
romantic,original,8
romantic,temperature_only,37
romantic,all_attributes,35
romantic,saturation_only,14
romantic,brightness_only,3
romantic,contrast_only,3
hopeful,original,14
hopeful,temperature_only,16
hopeful,contrast_only,12
hopeful,brightness_only,16
hopeful,all_attributes,29
hopeful,saturation_only,13
