image_name,emotion,best_edit,original_score,best_score,best_improvement,csv_path,plot_path
test_051,happy,all_attributes,0.2040100246667862,0.21546170115470886,0.011451676487922668,results_multi/test_051/happy_a_happy_image_clip_scores.csv,results_multi/test_051/happy_a_happy_image_clip_improvements.png
test_081,happy,all_attributes,0.21545451879501343,0.2265927642583847,0.011138245463371277,results_multi/test_081/happy_a_happy_image_clip_scores.csv,results_multi/test_081/happy_a_happy_image_clip_improvements.png
test_020,happy,all_attributes,0.2238100916147232,0.2335687130689621,0.009758621454238892,results_multi/test_020/happy_a_happy_image_clip_scores.csv,results_multi/test_020/happy_a_happy_image_clip_improvements.png
test_085,happy,temperature_only,0.21317344903945923,0.22291229665279388,0.009738847613334656,results_multi/test_085/happy_a_happy_image_clip_scores.csv,results_multi/test_085/happy_a_happy_image_clip_improvements.png
test_041,happy,all_attributes,0.20107108354568481,0.21042725443840027,0.009356170892715454,results_multi/test_041/happy_a_happy_image_clip_scores.csv,results_multi/test_041/happy_a_happy_image_clip_improvements.png
test_027,lonely,all_attributes,0.20754502713680267,0.23823492228984833,0.030689895153045654,results_multi/test_027/lonely_a_lonely_image_clip_scores.csv,results_multi/test_027/lonely_a_lonely_image_clip_improvements.png
test_088,lonely,all_attributes,0.20032449066638947,0.2308012992143631,0.030476808547973633,results_multi/test_088/lonely_a_lonely_image_clip_scores.csv,results_multi/test_088/lonely_a_lonely_image_clip_improvements.png
test_023,lonely,all_attributes,0.20543606579303741,0.2358594685792923,0.030423402786254883,results_multi/test_023/lonely_a_lonely_image_clip_scores.csv,results_multi/test_023/lonely_a_lonely_image_clip_improvements.png
test_099,lonely,all_attributes,0.20311886072158813,0.2330993413925171,0.029980480670928955,results_multi/test_099/lonely_a_lonely_image_clip_scores.csv,results_multi/test_099/lonely_a_lonely_image_clip_improvements.png
test_039,lonely,all_attributes,0.22497034072875977,0.2522504925727844,0.027280151844024658,results_multi/test_039/lonely_a_lonely_image_clip_scores.csv,results_multi/test_039/lonely_a_lonely_image_clip_improvements.png
test_054,scary,all_attributes,0.21299241483211517,0.23654013872146606,0.02354772388935089,results_multi/test_054/scary_a_scary_image_clip_scores.csv,results_multi/test_054/scary_a_scary_image_clip_improvements.png
test_023,scary,all_attributes,0.2050255388021469,0.2282721847295761,0.0232466459274292,results_multi/test_023/scary_a_scary_image_clip_scores.csv,results_multi/test_023/scary_a_scary_image_clip_improvements.png
test_056,scary,all_attributes,0.19767828285694122,0.2189817875623703,0.021303504705429077,results_multi/test_056/scary_a_scary_image_clip_scores.csv,results_multi/test_056/scary_a_scary_image_clip_improvements.png
test_072,scary,all_attributes,0.21320098638534546,0.23346208035945892,0.020261093974113464,results_multi/test_072/scary_a_scary_image_clip_scores.csv,results_multi/test_072/scary_a_scary_image_clip_improvements.png
test_088,scary,all_attributes,0.19658209383487701,0.21595194935798645,0.019369855523109436,results_multi/test_088/scary_a_scary_image_clip_scores.csv,results_multi/test_088/scary_a_scary_image_clip_improvements.png
test_062,peaceful,all_attributes,0.20722027122974396,0.21871830523014069,0.011498034000396729,results_multi/test_062/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_062/peaceful_a_peaceful_image_clip_improvements.png
test_054,peaceful,all_attributes,0.2238464504480362,0.23485037684440613,0.011003926396369934,results_multi/test_054/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_054/peaceful_a_peaceful_image_clip_improvements.png
test_083,peaceful,all_attributes,0.20221863687038422,0.21191507577896118,0.009696438908576965,results_multi/test_083/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_083/peaceful_a_peaceful_image_clip_improvements.png
test_068,peaceful,all_attributes,0.20801766216754913,0.21712838113307953,0.009110718965530396,results_multi/test_068/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_068/peaceful_a_peaceful_image_clip_improvements.png
test_025,peaceful,temperature_only,0.22893095016479492,0.23797738552093506,0.009046435356140137,results_multi/test_025/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_025/peaceful_a_peaceful_image_clip_improvements.png
test_081,romantic,all_attributes,0.2151205837726593,0.22867728769779205,0.013556703925132751,results_multi/test_081/romantic_a_romantic_image_clip_scores.csv,results_multi/test_081/romantic_a_romantic_image_clip_improvements.png
test_085,romantic,temperature_only,0.222532719373703,0.23520149290561676,0.012668773531913757,results_multi/test_085/romantic_a_romantic_image_clip_scores.csv,results_multi/test_085/romantic_a_romantic_image_clip_improvements.png
test_039,romantic,all_attributes,0.2192547768354416,0.23137208819389343,0.012117311358451843,results_multi/test_039/romantic_a_romantic_image_clip_scores.csv,results_multi/test_039/romantic_a_romantic_image_clip_improvements.png
test_041,romantic,temperature_only,0.20677456259727478,0.21879559755325317,0.012021034955978394,results_multi/test_041/romantic_a_romantic_image_clip_scores.csv,results_multi/test_041/romantic_a_romantic_image_clip_improvements.png
test_067,romantic,all_attributes,0.19885145127773285,0.209065243601799,0.010213792324066162,results_multi/test_067/romantic_a_romantic_image_clip_scores.csv,results_multi/test_067/romantic_a_romantic_image_clip_improvements.png
test_041,hopeful,all_attributes,0.21380826830863953,0.2238214910030365,0.010013222694396973,results_multi/test_041/hopeful_a_hopeful_image_clip_scores.csv,results_multi/test_041/hopeful_a_hopeful_image_clip_improvements.png
test_050,hopeful,all_attributes,0.23174835741519928,0.24064317345619202,0.008894816040992737,results_multi/test_050/hopeful_a_hopeful_image_clip_scores.csv,results_multi/test_050/hopeful_a_hopeful_image_clip_improvements.png
test_078,hopeful,all_attributes,0.20057088136672974,0.2090321034193039,0.008461222052574158,results_multi/test_078/hopeful_a_hopeful_image_clip_scores.csv,results_multi/test_078/hopeful_a_hopeful_image_clip_improvements.png
test_067,hopeful,all_attributes,0.20629672706127167,0.2142866849899292,0.007989957928657532,results_multi/test_067/hopeful_a_hopeful_image_clip_scores.csv,results_multi/test_067/hopeful_a_hopeful_image_clip_improvements.png
test_064,hopeful,all_attributes,0.2253262996673584,0.23319430649280548,0.007868006825447083,results_multi/test_064/hopeful_a_hopeful_image_clip_scores.csv,results_multi/test_064/hopeful_a_hopeful_image_clip_improvements.png
